11870	http://11870.com/	http://11870.com/api/	http://11870.com/api	http://11870.com/interaction	Search	REST 		OAuth with API Key
EBI MUSCLE	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/msa/muscle_rest	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBI MView	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/msa/mview_rest	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBI NCBI BLAST	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/sss/ncbi_blast_soap	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBI Phobius	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/pfa/phobius_rest	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBI PRANK	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/msa/prank_rest	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBI SBO	http://www.ebi.ac.uk/	http://www.ebi.ac.uk/SBO/SBOQuery	http://www.ebi.ac.uk/sbo/main/	lenov@ebi.ac.uk	Science	SOAP 		None
EBI T-Coffee	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/msa/tcoffee_rest	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBI WSDbfetch	http://www.ebi.ac.uk/	http://www.ebi.ac.uk/ws/services/WSDbfetchDoclit	http://www.ebi.ac.uk/Tools/webservices/services/dbfetch	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBI WU-BLAST	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/sss/wu_blast_soap	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EBSCO Host	http://www.ebsco.com/index.asp	http://eit.ebscohost.com/Services/SearchService.asmx	http://www.ebscohost.com/discovery/api	information@ebscohost.com	Search	SOAP 		HTTP Basic Authentication
ECGridOS EDI	http://www.ld.com	https://ecgridos.net/v2.3/prod/ECGridOS.asmx	http://ecgridos.net/docs/index.htm	awilensky@LD.com	Tools	SOAP 		https
ecobee	https://www.ecobee.com	https://api.ecobee.com/1/	http://www.ecobee.com/solutions/api/	info@ecobee.com	Tools	HTTP 		OAuth 2.0
eduroam URN	http://www.geant.net/	https://registry.edugain.org/resolver	https://registry.edugain.org/eduroam/browser/api.php	edugain-ot@geant.net	Education	REST 		Public
eKim eKart Fraud Buster	http://www.ekim.vn/	http://www.ekim.vn/fraudcheck/order?	http://www.ekim.vn/FB_API.html	contact@ekim.vn	Payments	REST 		API Key
ElectionsOnline Evote	http://www.electionsonline.com	https://www.electionsonline.com/components/	http://www.electionsonline.com/about-electionsonline/	contact@electionsonline.com	Tools	SOAP 		HTTP Basic Authentication
EMBOSS Backtranambig	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/st/emboss_backtranambig_soap	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	SOAP 		None
EMBOSS Backtranseq	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/st/emboss_backtranseq_soap	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EMBOSS Matcher	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/psa/emboss_matcher_soap	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EMBOSS Needle	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/psa/emboss_needle_soap	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EMBOSS Stretcher	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/psa/emboss_stretcher_soap	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EMBOSS Transeq	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/st/emboss_transeq_soap	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
EMBOSS Water	http://www.ebi.ac.uk/	http://soap.jdispatcher.ebi.ac.uk	http://www.ebi.ac.uk/Tools/webservices/services/psa/emboss_water_soap	http://www.ebi.ac.uk/support/index.php?query=WebServices	Science	REST 		None
Empirasign	http://www.empirasign.com/	http://empirasign.com/api/	http://www.empirasign.com/api_docs/	info@empirasign.com	Financial	REST 		API Key
EnrichNet	http://bree.cs.nott.ac.uk/enrichnet/index.php	http://bree.cs.nott.ac.uk/enrichnet/	http://bree.cs.nott.ac.uk/enrichnet/api.html	webmaster@arraymining.net	Science	REST 		Public
EnvoyRelate	http://envoyrelate.com/	https://api.envoyrelate.com/v1/	https://envoymail.zendesk.com/entries/22054001-api-overview	support@envoyrelate.com	Financial	REST 		API Key
EPA Project Catalog	http://www.epa.gov/	http://gov.epa.storet.projectcatalogservice/ProjectCatalogService.wsdl	http://www.epa.gov/storet/web_services.html	STORET@epa.gov	Science	SOAP 		None
EPA Station	http://www.epa.gov/	http://gov.epa.storet.stationservice/StationService.wsdl	http://www.epa.gov/storet/web_services.html	STORET@epa.gov	Science	SOAP 		None
EPA Watershed Summary	http://www.epa.gov/	http://gov.epa.storet.watershedsummary/WatershedSummaryService.wsdl	http://www.epa.gov/storet/web_services.html	STORET@epa.gov	Science	SOAP 		None
eThor	http://ethor.com/	https://ethor-prod.apigee.net/v1/	http://developers.ethor.com	api@ethor.com	Payments	HTTP 		API Key
Europeana OpenSearch	http://europeana.eu	http://api.europeana.eu/api/opensearch	http://europeanalabs.eu/wiki/EuropeanaOpenSearchAPI	api@europeana.eu	Education	REST 		API Key
Eviscape	eviscape.com	http://www.eviscape.com/api/	http://www.eviscape.com/profile/eviscape-api/	contact@eviscape.com	Social	REST 		OAuth
Exceptional	http://www.getexceptional.com	http://api.getexceptional.com/api	http://docs.exceptional.io/api/publish/	hello@getexceptional.com	Tools	REST 		None
Exposure Basketball Tournaments	http://exposurebasketballtournaments.com	http://exposurebasketballtournaments.com/api/v1/	http://exposurebasketballtournaments.com/api	info@exposurebasketballtournaments.com	Sports	HTTP 		API Key
Eyewitness Guides	http://www.pearson.com/	http://api.pearson.com/eyewitness	https://developer.pearson.com/apis/eyewitness-guides/	api-developer@pearson.com	Travel	REST 		API Key
Fabulous	http://fabulous.com	http://api.fabulous.com/	http://fabulous.com/informationcenter/index.htm?formdata%5Bqid%5D=1452	support@fabulous.com	Advertising	REST 		User Password
Faithlife	https://faithlife.com	https://api.faithlife.com/community/v2/	https://developer.faithlife.com/	tech@faithlife.com	Social	HTTP 		OAuth 1.0a
FanBridge	fanbridge.com	https://api.fanbridge.com/v3/	http://www.fanbridge.com/api/	api@FanBridge.com	Advertising	REST 		API Key
Farelogix	http://www.farelogix.com	http://67.63.42.151:28810/	http://www.farelogix.com/html/ourTechnology.html	proservices@farelogix.com	Travel	SOAP 		API Key
FAROO	http://www.faroo.com	Multiple	http://www.faroo.com/hp/api/api.html	info@faroo.com	Search	REST 		None
Favatar	https://en.mention.net/	http://favatar.mention.net/	https://favatar.mention.net/	edouard@mention.net	Media	REST 		API Key
Feed.fm	http://feed.fm/	http://feed.fm/api/v2/	http://developer.feed.fm/documentation	support@feed.fm	Music	REST 		API Key
Fellowship One	http://www.fellowshipone.com	https://fellowshiponeapi.com/v1/	http://developer.fellowshipone.com	api@fellowshiptech.com	Other	REST 		OAuth
figo connect	http://figo.me/	https://api.leanbank.com/rest/	http://developer.figo.me/	business@figo.me	Financial	REST 		OAuth 2.0
FillAnyPDF	http://www.conceptasys.com/	https://www.fillanypdf.com/api/	http://fillanypdf.wikidot.com/wiki:rest	admin@conceptasys.com	Tools	REST 		Basic Authentication over SSL
filtrbox	http://www.filtrbox.com	http://www.filtrbox.com/rest/	http://api.filtrbox.com/w/page/13068249/FrontPage	support@filtrbox.com	Social	REST 		HTTP Basic Authentication over SSL
First Data Global Gateway	http://www.firstdata.com/en_us/home.html	https://api.globalgatewaye4.firstdata.com/transaction	https://firstdata.zendesk.com/entries/407571-first-data-global-gateway-e4sm-web-...	https://www.firstdata.com/en_us/contact/general-inquiries.html	Payments	SOAP 		HTTP Basic Authentication or API Key
Flashcard Exchange	http://www.cram.com/	https://api.Cram.com/v2	http://www.cram.com/docs/api	support@flashcardexchange.com	Education	REST 		API Key, OAuth
Fleetly	http://www.fleetly.com	 https://api.fleetly.com/api/v1/	http://www.fleetly.com/login/?next=/api/	hello@fleetly.com	Sports	REST 		OAuth
FlightAware	http://flightaware.com	http://directflight.flightaware.com/soap	http://flightaware.com/commercial/flightxml/	contact-1238543885@flightaware.com	Travel	REST 		API Key, HTTP Auth
Flingo	http://flingo.org	http://flingo.tv/fling/	http://flingo.org/developers.html#api_reference	editor@flingo.org	Media	HTTP 		Public
Fliptop	http://www.fliptop.com/	http://api.fliptop.com/beta/	https://developer.fliptop.com/documentation	sales@fliptop.com	Social	REST 		API Key
Flo2Cash	http://www.flo2cash.co.nz/index.php	https://secure.flo2cash.co.nz/web2pay	http://www.flo2cash.co.nz/downloadAPI.php	support@flo2cash.co.nz	Payments	REST 		HTTP Basic Authentication
Floorplanner	http://www.floorplanner.com/	http://{mycompany}.floorplanner.com/users.xml	http://dev.floorplanner.com/doku.php?id=rest-api	support@floorplanner.com	Tools	REST 		HTTP Basic Authentication
FloraBrasil	http://www.cria.org.br/	 http://checklist.florabrasil.net/service/	http://checklist.florabrasil.net/service	webmaster@cria.org.br	Science	REST 		Public
FluidSurveys	http://fluidsurveys.com/	http://app.fluidsurveys.com/api/surveys/	http://docs.fluidsurveys.com/	info@fluidsurveys.com	Tools	HTTP 		API Key
FlyBase	http://flybase.org/	http://flybase.org/chadoxml/	http://flybase.org/forums/viewtopic.php?f=14&amp;t=81	http://flybase.org/cgi-bin/mailto-fbhelp.html	Science	REST 		None
Footfeed	http://footfeed.com/	http://footfeed.com/api/v1/	http://footfeed.com/api/v1/documentation/index	info@footfeed.com	Social	REST 		API Key, HTTP Basic Authentication
Footprint Services	http://www.us-vo.org/	ivo://voservices.net/footprint	http://voservices.net/footprint/	vo-help@skysrv.pha.jhu.edu	Science	SOAP 		HTTP Basic Authentication
Fosbury	http://www.fosbury.co	https://app.fosbury.co/api/v1/	http://www.fosbury.co/api	hello@fosbury.co	Advertising	REST 		HTTP Basic Authentication over SSL, API Key
foursquare	https://foursquare.com	https://api.foursquare.com/	https://developer.foursquare.com/	api@foursquare.com	Social	REST 		OAuth 2.0
Free Music Archive	http://freemusicarchive.org/	http://freemusicarchive.org/api/get/	http://freemusicarchive.org/api	dev@freemusicarchive.org	Music	REST 		API Key
Friendster	http://friendster.com	http://api.friendster.com/v1	http://www.friendster.com/api_reference	developersupport@friendster.com	Social	REST 		API Key, Shared secret
FT Press	http://www.pearson.com/	http://api.pearson.com/ftpress	https://developer.pearson.com/apis/ft-press/	api-developer@pearson.com	Financial	REST 		API Key
FullContact Location	http://www.fullcontact.com/	https://api.fullcontact.com/v2/address/	http://www.fullcontact.com/developer/location-api/	support@fullcontact.com	Tools	REST 		API Key
FullContact Name	http://www.fullcontact.com/	https://api.fullcontact.com/v2/name/	http://www.fullcontact.com/developer/name-api/	support@fullcontact.com	Tools	REST 		API Key
FullContact Person	http://www.fullcontact.com/	https://api.fullcontact.com/v2/person	http://www.fullcontact.com/developer/person-api/	support@fullcontact.com	Social	REST 		API Key
Fundraise.com	https://www.fundraise.com/	https://api.fundraise.com/v1/	https://www.fundraise.com/doc/api	info@fundraise.com	Social	REST 		Basic Authentication over SSL, API token
G Adventures	http://www.gadventures.com/	https://rest.gadventures.com	https://developers.gadventures.com/	travel@gadventures.com	Travel	REST 		API Key
GenealogyCloud OneGreatFamily	http://www.genealogycloud.com	http://wsdev.onegreatfamily.com/v11.02	http://www.genealogycloud.com/v11.02/help/default.aspx	devws@onegreatfamily.com	Other	REST 		API Key
GeneProf	http://www.crm.ed.ac.uk/	http://www.geneprof.org/api/	http://www.geneprof.org/GeneProf/webapi.jsp	simon.tomlinson@ed.ac.uk	Science	REST 		Public
Genomic Name Server	http://bioinformatics.ua.pt/	http://bioinformatics.ua.pt/applications/gens	http://bioinformatics.ua.pt/software/gens/	none given	Science	SOAP 		None
GeoRanker	http://www.georanker.com	https://api.georanker.com/1/	http://apidocs.georanker.com	contact@georanker.com	Search	REST 		API Key, Shared secret access key
Geotoko	http://geotoko.com	http://geotoko.com/api/campaigns	http://geotoko.com/about	api@geotoko.com 	Advertising	REST 		API Key
GiftRocket Gift Card	http://www.giftrocket.com/	https://secure.giftrocket.com/gifts	http://www.giftrocket.com/gift-card-api	api@giftrocket.com	Social	REST 		API Key with authorization
Gliffy	http://www.gliffy.com	http://www.gliffy.com/api/1.0	http://www.gliffy.com/products/online/api/	http://www.gliffy.com/contactus.php	Other	REST 		OAuth
Global Sports Media	http://www.globalsportsmedia.com/	http://webpull.globalsportsmedia.com/	http://optasports.com/about/how-we-do-it/distribution-options.aspx	sales@globalsportsmedia.com	Sports	REST 		HTTP Basic Authentication
Go Processing	http://www.goprocessing.in/	https://www.goprocessing.in/api	https://www.goprocessing.in/api	info@goprocessing.in	Payments	XML 		Unspecified, User Password
GoCoin	http://www.gocoin.com	http://api.gocoin.com/	https://www.gocoin.com/docs	info@gocoin.com	Payments	REST 		OAuth, HTTP Basic Authentication over SSL
Golm Metabalome Database	http://www.mpimp-golm.mpg.de/	http://gmd.mpimp-golm.mpg.de/webservices/wsGoBioSpace.asmx/	http://gmd.mpimp-golm.mpg.de/webservices/	hummel@mpimp-golm.mpg.de	Science	SOAP 		None
Gravatar	http://en.gravatar.com/	http://www.gravatar.com/, https://secure.gravatar.com/xmlrpc	http://en.gravatar.com/site/implement/	support@gravatar.com 	Social	XML 		None (for JavaScript), API Key or Password for (XML-RPC)
Gridspot	http://www.gridspot.com	https://gridspot.com/compute_api/v1/	https://gridspot.com/compute/api_help	support@gridspot.com	Tools	REST 		API Key
H-InvDB	http://h-invitational.jp/	http://h-invitational.jp/hinv/hws/	http://h-invitational.jp/hinv/hws/doc/index.html	info@h-invitational.jp	Science	SOAP 		Public
HaleyMail	http://haleymarketing.com	https://api.haleymarketing.com/	http://www.haleymarketing.com/api/haleymail-rest-api/	webmaster@haleymarketing.com	Advertising	REST 		API Key
Hello Social	https://hellosocial.com	https://api.hellosocial.com/v1	http://developers.hellosocial.com/	hello@hellosocial.com	Social	REST 		API Key
Hexillion Whois	http://hexillion.com	http://hexillion.com/rf/xml/1.0/whois/	http://hexillion.com/whois/	info@hexillion.com	Tools	REST 		Session key over SSL
Heystaks	http://www.heystaks.com/	https://api.heystaks.com/1/	https://www.heystaks.com/developers/#overview	info@heystaks.com	Search	REST 	http://www.apihub.com/heystaks/api/heystaks-api?utm_source=Programmableweb&amp;utm_m...	OAuth
Hi5	http://www.hi5.com/	http://api.hi5.com	http://api.hi5.com/index.html	http://www.hi5networks.com/contactform.html?subject=4	Social	REST 		API Key, OAuth
HipGeo	http://www.hipgeo.com	http://api.hipgeo.com/	http://www.hipgeo.com/developer/index	api@hipgeo.com	Travel	REST 		API Key, oAuth 2.0
Historical currency converter	http://blog.grandtrunk.net/	http://currencies.apps.grandtrunk.net/	http://currencies.apps.grandtrunk.net/	wim.heirman@elis.ugent.be	Financial	REST 		Public
HitchHiker Flight	http://www.hitchhiker.net	http://www.hitchhiker.net/	http://www.hitchhiker.net/index.php/our-solutions/#flightapi	marketing@hitchhiker.net	Travel	XML 		Unspecified
Hive	http://www.packetizer.com/	http://hive.packetizer.com/	http://hive.packetizer.com/api/	support@packetizer.com	Storage	REST 		API key
Houdini	http://houdiniapi.com/	https://api.houdiniapi.com/{version}	http://support.houdiniapp.com/customer/portal/topics/409711-developer-docs/artic...	presto@houdiniapi.com	Tools	REST 		API Key
Hubba	http://www.hubba.com	http://hubba.com/api/	http://www.hubba.com/api-documentation	info@hubba.com	Advertising	REST 		API Key
Hummingbird	http://hummingbird.me/	https://hummingbirdv1.p.mashape.com/	https://www.mashape.com/vikhyat/hummingbird-v1	josh@hummingbird.me	Social	HTTP 		API Key
Hunt Mobile Ads Ad Request	http://www.huntmads.com/	http://ads.huntmads.com/ad	http://www.huntmads.com/soy-un-developer	contact@huntmads.com	Advertising	REST 		API Key
HUSAR Bioinformatics Lab	http://genome.dkfz-heidelberg.de/	http://www.dkfz.de/menu/biounit/dev.shtml	http://genome.dkfz-heidelberg.de/husar/index.php?id=hs_home#soaplab	Genome@DKFZ.de	Science	SOAP 		None
IBCP gBIO	http://www.ibcp.fr/	http://gbio.ibcp.fr:8090/Clustalw_Service	http://gbio-pbil.ibcp.fr/ws/	none given	Science	SOAP 		None
IceLogo	http://compomics.com/	urn:IceLogoFetcher	http://iomics.ugent.be/icelogoserver/soap.html	lennart.martens@UGent.be	Science	SOAP 		None
IconFinder	http://www.iconfinder.com/	http://www.iconfinder.com/	https://www.iconfinder.com/about/api	support@iconfinder.com	Search	REST 		Account with service, API key
iDreamBooks	http://idreambooks.com	http://idreambooks.com/newbooks/api	http://idreambooks.com/api	contact@dreamonus.com	Entertainment	REST 		API Key
Impossible Software	http://impossiblesoftware.com/	http://api.jet.is/	http://www.impossiblesoftware.com/docs/ServiceAPI.html	contact@impossiblesoftware.com	Media	REST 		HTTP Basic Authentication
in2Era	http://erapublications.com	http://dev.in2era-web-service.com/api/	http://dev.in2era-web-service.com/implementation	info@erapublications.com	Education	REST 		Public
Incubate	http://incubate.org	http://api.incubate.org/	http://incubate.org/2012/api	api@incubate.org	Music	REST 		API Key
Indaba Music	http://www.indabamusic.com/	http://api.indabamusic.com/	https://www.indabamusic.com/labs	info@indabamusic.com	Social	REST 		OAuth Standard
Ingenio	http://www.ingenio.com	http://api.ingenio.com/{trackingID}/GetListings.asmx	http://developers.ingenio.com/CommunityServer/files/9/default.aspx	dnsadmin@yellowpages.com	Advertising	SOAP 		API Key
Ingesture	ingesture.com	http://ingesture.com/api/messages/ 	http://ingesture.com/apidocs/	email@ingesture.com	Social	REST 		API Key
INOH Pathway Database	http://www.inoh.org/	http://www.inoh.org/axis2/services/InohWebService2/	http://www.inoh.org/inoh_api_manual.html	info@inoh.org	Science	REST 		Public
Inside Higher Ed	http://www.insidehighered.com/	http://careers.insidehighered.com/api/	http://api2.insidehighered.com:8080/api/docs/	info@insidehighered.com	Education	SOAP 		API Key
Instamojo	http://www.instamojo.com	https://www.instamojo.com/api/1	https://www.instamojo.com/developers/	support@instamojo.com	Payments	REST 		HTTP Basic Authentication over SSL
InsumaFocus	http://www.insuma.de/insuma/en/index_insuma.h	http://www.insuma.de/	http://www.insuma.de/insuma/en/SEfocus.html	info@insuma.de	Search	HTTP 		HTTP Basic Authentication
Insured Rating	http://www.insuredapp.com/	https://{userAccount}.insuredapp.com	http://www.insuredapp.com/guides/	info@clariondoor.com	Financial	REST 		HTTP Basic Authentication
Intacct Online Accounting	http://www.intacct.com/	http://www.intacct.com/ia/xml/xmlgw.phtml	http://developer.intacct.com/wiki/about-web-services	info@intacct.com	Financial	REST 		HTTP Basic Authenticaiton
Integrated Earth Data Applications	http://www.iedadata.org/	http://app.geosamples.org/webservices/	http://www.iedadata.org/services/webservices	info@iedadata.org	Science	REST 		HTTP Basic Authentication
Intellexere	http://www.intellexere.com/en/homepage	http://us.ws.intellexere.com/	https://www.intellexere.com/en/ikb/api/	support@complexityintelligence.com 	Search	REST 		HTTP Basic Authentication
Invoice Machine	http://invoicemachine.com	http://machine_id.invoicemachine.com/api/	http://invoicemachine.com/api	info@invoicemachine.com	Financial	REST 		API Key
IOOS SOS	http://tidesandcurrents.noaa.gov/	http://opendap.co-ops.nos.noaa.gov/ioos-dif-sos/	http://opendap.co-ops.nos.noaa.gov/ioos-dif-sos/	COOPS.IOOS@noaa.gov	Science	HTTP 		None
IP Address	http://www.ipaddressapi.com	http://www.ipaddressapi.com/l/	http://www.ipaddressapi.com/ip_address_location_api/	info@ipaddressapi.com	Tools	REST 		API Key
iPlant Semantic Web HTTP	http://www.iplantcollaborative.org	http://sswap.info/api 	http://www.iplantcollaborative.org/discover/semantic-web/semantic-web-http-api	info@iplantcollaborative.org	Science	REST 		Public
iRadeo	www.iradeo.com	http://www.iradeo.com/api	http://www.iradeo.com/api	support@iradeo.com	Music	REST 		HTTP Basic Auth
iRefIndex	http://donaldson.uio.no/wiki/Donaldson_Group	http://psi.hupo.org/mi/psicquic	http://irefindex.uio.no/wiki/README_PSICQUIC_web_services_for_iRefIndex	ian.donaldson@biotek.uio.no 	Science	REST 		None
iSpeech Automated Speech Recognition	http://www.ispeech.org/	api.ispeech.org/api/	http://www.ispeech.org/api	http://www.ispeech.org/commercial/contact	Tools	REST 		API Key
iSpeech Text-To-Speech	http://www.ispeech.org/	api.ispeech.org/api/	http://www.ispeech.org/api	http://www.ispeech.org/commercial/contact	Tools	REST 		API Key
IST Bioinformatics Web Services	http://bioinformatics.istge.it/	http://bioinformatics.istge.it:8080/axis/services/sws.getDBs	http://bioinformatics.istge.it/ibws/index.html	paolo.romano@istge.it	Science	SOAP 		None
iWatchOnline	http://www.iwatchonline.to	http://www.iwatchonline.to/api	iWatchOnline	support@iwatchonline.to	Entertainment	XML 		API Key
iZettle	https://www.izettle.com/	izettle://x-callback-url/payment/1.0	https://developer.izettle.com/	 api@izettle.com	Payments	REST 		API Key
JISC Monitoring Unit	http://www.jisc.ac.uk/	http://data.jiscmu.ac.uk/rest/organisations	http://www.jiscmu.ac.uk/api/	http://www.jiscmu.ac.uk/about/email	Education	REST 		Public
Jolkona	http://www.jolkona.org/	http://www.jolkona.org/api/	http://dev.jolkona.org/apis	dev@jolkona.org	Social	REST 		App ID
Joomag	http://www.joomag.com/	http://www.joomag.com/Frontend/WebService/restAPI.php	http://www.joomag.com/en/api	info@joomag.com	Tools	REST 		API Key
Joomeo	http://joomeo.com	http://api.joomeo.com/xmlrpc.php	http://www.joomeo.com/us/developer.php	api_developer@joomeo.com	Media	XML 		API Key
Jotly	http://www.jotly.co	https://jot-ly.appspot.com/api/v1	http://www.jotly.co/api	api@jotly.co	Social	REST 		API Key or Access Token
Judo Pay	https://www.judopay.com/	https://devpartnerapi.judopay.com	https://www.judopay.com/Docs/	developersupport@judopay.com	Payments	REST 		API Key
JunglePay	http://www.junglepay.com	http://menable.txtnation.com/JunglePay/api/	http://www.junglepay.com/developers/	sales@txtnation.com	Payments	REST 		API Key
Kanvaso	http://kanvaso.com	http://api.kanvaso.com/1	http://api.kanvaso.com/1/doc.php	api@kanvaso.com	Social	REST 		API Key, OAuth
Kariru Library Search	http://calil.jp	 http://api.calil.jp/library	http://calil.jp/doc/api_ref.html	http://calil.jp/doc/co	Search	REST 		API Key
Karmacracy	http://www.karmacracy.com	http://karmacracy.com/api/	https://karmacracy.com/sections/api/key/introduction.php	info@karmacracy.com	Social	REST 		API Key
KAYWA QR-Code	http://kaywa.com	http://decode.kaywa.com/api/	http://faq.kaywa.com/category/api/	info@kaywa.com 	Tools	REST 		API Key
KeyPay YourPayroll	https://www.keypay.com.au/	https://api.yourpayroll.com.au/api/v2	http://keypay.com.au/api	support@yourpayroll.com.au	Financial	REST 		HTTP Basic Authentication over SSL, API Key
Khan Academy	http://www.khanacademy.org/	http://www.khanacademy.org/api/v1/	https://github.com/Khan/khan-api/wiki/Khan-Academy-API	info@khanacademy.org	Education	REST 		OAuth
KickoffLabs	http://www.kickofflabs.com/	http://api.kickofflabs.com/v1/	http://api.kickofflabs.com	support@kickofflabs.com	Social	HTTP 		HTTP Basic Authentication over SSL
Kinsey Reporter	http://www.kinseyinstitute.org/	http://kinseyreporter.org/API/	http://kinseyreporter.org/data	kinseyreporter@googlegroups.com	Social	REST 		Public
Kiuwan	http://www.kiuwan.com	https://api.kiuwan.com/apps/kiuwan	https://www.kiuwan.com/docs/display/K5/REST+API	jelly.service@kiuwan.com	Tools	REST 		HTTP Basic Authentication
Kngine	http://www.kngine.com	http://api.kngine.com/searchapi1	http://kngine.com/api/APIDocumentation.html	info@Kngine.com	Search	REST 		API Key
KnotInFrame	http://bibiserv.techfak.uni-bielefeld.de/	http://bibiwsserv.techfak.uni-bielefeld.de/knotinframe/axis/knotinframePort	http://bibiserv.techfak.uni-bielefeld.de/knotinframe/webservice.html	bibi-help@techfak.uni-bielefeld.de	Science	SOAP 		None
Koality	https://koalitycode.com	https://domain-name/api/v/0	https://koalitycode.com/documentation?view=adminApi	support@koalitycode.com	Tools	REST 		API Key
Koemei	http://koemei.com	http://www.koemei.com/REST/	https://www.koemei.com//api/	john.dines@koemei.com	Media	REST 		API Key
Kontagent	http://www.kontagent.com/	http://api.geo.kontagent.net/api/	http://www.upsight.com/?c=kt&amp;u=/products/	support@kontagent.com	Social	REST 		API Key
Kounta	http://www.kounta.com	https://api.kounta.com/v1/	http://developer.kounta.com/documentation/	kounta@kounta.com	Payments	REST 		OAuth
Kumutu	http://kumutu.com	http://api.kumutu.com/0.4	http://kumutu.com/api/methods	support@kumutu.com	Travel	REST 		API Key
L-Vin Post	http://www.pawisda.de/	https://www.lvinpost.de/ws/services/lettershop	https://www.lvinpost.de/index.jsp?id=service#webservice	hotline@lvinpost.de	Other	SOAP 		HTTP Basic Authentication over SSL
LabJack CloudDot	http://labjack.com/	http://cloudapi.labjack.com/	http://labjack.com/support/clouddot/rest-api	support@labjack.com	Tools	REST 		API Key, HTTP Basic Authentication
LaunchBit	http://www.launchbit.com/	http://launchbit.com/api/v1.0	http://www.launchbit.com/api/documentation.html	hello@launchbit.com	Advertising	REST 		API Key
LaunchRock	http://launchrock.com/	https://platform.launchrock.com	http://backstagepass.launchrock.com/	hello@launchrock.com	Social	REST 		HTTP Basic Authentication
Leaguevine	https://www.leaguevine.com	https://api.leaguevine.com	https://www.leaguevine.com/docs/api/	mark@leaguevine.com	Sports	REST 		OAuth 2.0
LendUp	https://www.lendup.com	https://www.lendup.com	https://www.lendup.com/developers#	press@lendup.com	Financial	REST 		Unspecified
LetsMT	http://project.letsmt.eu/	https://{user}.letsmt.eu/ws/service.asmx	https://www.letsmt.eu/Integration.aspx	andris.karpovs@tilde.lv	Tools	SOAP 		API Key
LevelUp	https://www.thelevelup.com/	https://api.thelevelup.com/v13	http://developer.thelevelup.com/getting-started/sign-up/	support@thelevelup.com	Payments	REST 		oAuth 2.0, API Token
Leverage Software	http://telligent.com/	http://web.services.leveragesoftware.com/rest/service.aspx	http://community.leveragesoftware.com/wiki_entry_view.aspx?topicid=8e284ad084c24...	http://telligent.com/support/p/contact.aspx	Social	SOAP 		API Key
Lexity Commerce Central	http://lexity.com/	https://{api_token}:{store_connection_password}@api.lexity.com/v1	http://commercecentral.lexity.com/learn/get_started	commercecentral@lexity.com	Payments	REST 		API Key
LifePics	http://www.lifepics.com	https://api.lifepics.com/v3/LPWebService.asmx	http://www.lifepics.com/marketing/open-technical-3.2.pdf	http://www.lifepics.com/Help/ContactUs.aspx	Media	SOAP 		HTTP Basic Authentication
Lipisha	http://www.lipisha.com	https://www.lipisha.com/payments/accounts/index.php/v2/api/	https://lipisha.com/payments/accounts/index.php/home/page/developers/api	info@lipisha.com	Payments	REST 		API Key
